variant,num_questions,precision_at_k,recall_at_k,f1_score,accuracy,mrr,ragas_context_recall,ragas_faithfulness,ragas_factual_correctness,ragas_hallucination_rate
baseline,50,0.452,0.84,0.5877399380804954,0.84,0.6223333333333333,0.44,0.9061,0.503,0.0795
hyde,50,0.49200000000000005,0.84,0.6205405405405405,0.84,0.6266666666666666,0.4033,0.9454,0.488,0.0546
hybrid,50,0.764,0.92,0.8347743467933492,0.92,0.8183333333333332,0.6054,0.9003,0.492,0.0997
finance,50,0.7240000000000001,0.92,0.810316301703163,0.92,0.8266666666666667,0.4524,0.9093,0.4638,0.0907
baseline+rerank,50,0.452,0.84,0.5877399380804954,0.84,0.6583333333333333,0.66,0.5863,0.314,0.4137
hyde+rerank,50,0.41600000000000004,0.78,0.542608695652174,0.78,0.653,0.74,0.7043,0.3724,0.2957
hybrid+rerank,50,0.764,0.92,0.8347743467933492,0.92,0.794,0.72,0.5028,0.3126,0.4972
finance+rerank,50,0.7240000000000001,0.92,0.810316301703163,0.92,0.84,0.58,0.5788,0.3831,0.4212
